"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Groupe d'âge";"Sexe";"Source de revenu";"Statistiques";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2003";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"5793";"A";"";"";"0"
"2004";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"5848";"A";"";"";"0"
"2005";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"5940";"A";"";"";"0"
"2006";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"5972";"A";"";"";"0"
"2007";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6056";"A";"";"";"0"
"2008";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6178";"A";"";"";"0"
"2009";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6243";"A";"";"";"0"
"2010";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6310";"A";"";"";"0"
"2011";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6399";"A";"";"";"0"
"2012";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6436";"A";"";"";"0"
"2013";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6470";"A";"";"";"0"
"2014";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6545";"E";"";"";"0"
"2015";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6539";"A";"";"";"0"
"2016";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6581";"A";"";"";"0"
"2017";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6666";"A";"";"";"0"
"2018";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6776";"A";"";"";"0"
"2019";"Québec";"2016A000224";"16 ans et plus";"Les deux sexes";"Revenu total";"Nombre ayant un revenu";"Nombre";"223";"milliers";"3";"v107671655";"7.1.1.1.2";"6817";"A";"";"";"0"
